date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:27	72373/72373	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:25%20GMT	https://www.getthegloss.com/listing/health-news	www.getthegloss.com/listing/health-news.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:28	73139/73139	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:26%20GMT	https://www.getthegloss.com/listing/mental-health	www.getthegloss.com/listing/mental-health.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:28	72846/72846	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:26%20GMT	https://www.getthegloss.com/listing/the-5-2-diet	www.getthegloss.com/listing/the-5-2-diet.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:29	66121/66121	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:27%20GMT	https://www.getthegloss.com/gallery/the-best-moisturisers-for-combination-skin	www.getthegloss.com/gallery/the-best-moisturisers-for-combination-skin.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:29	69084/69084	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:28%20GMT	https://www.getthegloss.com/listing/health-and-fitness-videos	www.getthegloss.com/listing/health-and-fitness-videos.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:29	72366/72366	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:28%20GMT	https://www.getthegloss.com/listing/recipe	www.getthegloss.com/listing/recipe.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:30	60040/60040	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:28%20GMT	https://www.getthegloss.com/listing/health-sos	www.getthegloss.com/listing/health-sos.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:30	47080/47080	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:29%20GMT	https://www.getthegloss.com/author/ayesha-muttucumaru	www.getthegloss.com/author/ayesha-muttucumaru.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:30	73338/73338	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:29%20GMT	https://www.getthegloss.com/listing/columns	www.getthegloss.com/listing/columns.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:44:31	73368/73368	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:44:29%20GMT	https://www.getthegloss.com/listing/sarah-vine-blog	www.getthegloss.com/listing/sarah-vine-blog.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
