date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:40:28	75819/75819	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:27%20GMT	http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews	www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews.html	(from )
15:40:30	448/448	---M-Z	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:%2257f-54a1b60396a9b-gzip%22	http://www.getthegloss.com/robots.txt		(from )
15:40:33	72784/72784	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:32%20GMT	http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews?offset=25	www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews4c30.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:34	72160/72160	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:33%20GMT	https://www.getthegloss.com/listing/health-on-get-the-gloss	www.getthegloss.com/listing/health-on-get-the-gloss.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:35	71776/71776	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:33%20GMT	https://www.getthegloss.com/listing/beauty-on-get-the-gloss	www.getthegloss.com/listing/beauty-on-get-the-gloss.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:35	72221/72221	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:34%20GMT	http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews?offset=50	www.getthegloss.com/listing/beauty-reviews-beauty-product-reviewse164.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:36	84957/84957	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:34%20GMT	https://www.getthegloss.com/listing/get-the-guide-shop-health-and-beauty-guides	www.getthegloss.com/listing/get-the-guide-shop-health-and-beauty-guides.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:37	71961/71961	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:35%20GMT	https://www.getthegloss.com/listing/beauty-news	www.getthegloss.com/listing/beauty-news.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:37	72244/72244	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:34%20GMT	https://www.getthegloss.com/listing/beauty-features	www.getthegloss.com/listing/beauty-features.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:38	71410/71410	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:36%20GMT	https://www.getthegloss.com/listing/beauty-tutorials-and-videos	www.getthegloss.com/listing/beauty-tutorials-and-videos.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:38	72761/72761	---M-Z	200	added ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:36%20GMT	http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews?offset=75	www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews.2179ee.delayed	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:39	58663/58663	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:37%20GMT	https://www.getthegloss.com/listing/beauty-sos	www.getthegloss.com/listing/beauty-sos.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:39	71630/71630	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:37%20GMT	https://www.getthegloss.com/listing/health-features	www.getthegloss.com/listing/health-features.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:40	72373/72373	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:38%20GMT	https://www.getthegloss.com/listing/health-news	www.getthegloss.com/listing/health-news.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:41	73139/73139	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:39%20GMT	https://www.getthegloss.com/listing/mental-health	www.getthegloss.com/listing/mental-health.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:41	72846/72846	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:39%20GMT	https://www.getthegloss.com/listing/the-5-2-diet	www.getthegloss.com/listing/the-5-2-diet.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:43	69022/69022	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:40%20GMT	https://www.getthegloss.com/listing/health-and-fitness-videos	www.getthegloss.com/listing/health-and-fitness-videos.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:43	72366/72366	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:41%20GMT	https://www.getthegloss.com/listing/recipe	www.getthegloss.com/listing/recipe.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:44	60040/60040	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:41%20GMT	https://www.getthegloss.com/listing/health-sos	www.getthegloss.com/listing/health-sos.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:44	73338/73338	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:43%20GMT	https://www.getthegloss.com/listing/columns	www.getthegloss.com/listing/columns.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:45	73368/73368	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:43%20GMT	https://www.getthegloss.com/listing/sarah-vine-blog	www.getthegloss.com/listing/sarah-vine-blog.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:47	71853/71853	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:44%20GMT	https://www.getthegloss.com/listing/news-and-features-by-susannah-taylor	www.getthegloss.com/listing/news-and-features-by-susannah-taylor.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:48	53985/53985	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:44%20GMT	https://www.getthegloss.com/listing/elle-macpherson-s-body-blog	www.getthegloss.com/listing/elle-macpherson-s-body-blog.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:48	75864/75864	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:45%20GMT	https://www.getthegloss.com/listing/sense-and-sensitivity	www.getthegloss.com/listing/sense-and-sensitivity.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:49	71533/71533	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:47%20GMT	https://www.getthegloss.com/listing/the-makeup-maniac	www.getthegloss.com/listing/the-makeup-maniac.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:50	74912/74912	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:48%20GMT	https://www.getthegloss.com/listing/not-fair	www.getthegloss.com/listing/not-fair.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:50	71543/71543	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:48%20GMT	https://www.getthegloss.com/listing/freer-nutrition	www.getthegloss.com/listing/freer-nutrition.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:50	73255/73255	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:49%20GMT	https://www.getthegloss.com/listing/doing-it-all	www.getthegloss.com/listing/doing-it-all.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:51	49412/49412	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:49%20GMT	https://www.getthegloss.com/listing/zen-mistress	www.getthegloss.com/listing/zen-mistress.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
15:40:52	72235/72235	U--M-Z	200	updated ('OK')	text/html	date:Tue,%2007%20Mar%202017%2015:40:50%20GMT	https://www.getthegloss.com/listing/budget-beauty	www.getthegloss.com/listing/budget-beauty.html	(from http://www.getthegloss.com/listing/beauty-reviews-beauty-product-reviews)
